,j
B P-[1897]b.Fl,1
V1990.033,1
PAMP Clarkson-2,1
Bergen-1888.Fl,1
2006.002,1
1979.004,1
1993.006,1
B P-[1897?]c.Fl,1
PAMP Remarks-1,1
PAMP Southern-1,1
B A-1885.Fl,1
B A-1962.Fl,1
PAMP Sumner-20,1
1977.268,1
PAMP AmCS-5,1
NYC-2009c.Fl,1
L.I.-1906a.Fl,1
1974.155,1
PAMP PattonW-2,1
1978.118,1
PAMP Dostie-1,1
1987.012,1
Rev. War-[1776?]a.Fl.RA,1
1977.065,1
2003.001,1
B A-1880.Fl.RA,1
B P-[1873]a.Fl,1
1977.597,1
Bergen-[18--?]r.Fl,1
NYS-1600-1800 (1934).Fl,1
1985.109,1
B C-1885.Fl,1
PAMP BRFAL-1,1
PAMP Bullard-1,1
PAMP Nordhoff-2,1
ARC.194,1
2007.036,1
Q-[1958?].Fl,1
1977.584,1
D.P.W.-1:24000 (Greenlawn Quad).R,1
B A-1891.Folded,1
2014.006,1
1978.082,1
1978.111,1
B P-[1893].Fl,1
PAMP PeabodyE-1,1
ARC.199,1
1985.033,1
1974.188,1
1985.037,1
2005.018,1
PAMP JSFEF-2,1
Lefferts PR3383.H4 1803,1
B A-[18--?].Fl.Folio,1
L.I.-[1873].Fl.Folio,1
B A-1960.Fl,1
1974.235,1
Rev. War-1776 (18--?).Fl.Folio,1
ARC.249,1
PAMP ButlerAP-1,1
L.I.-[1882].Fl,1
1978.157,1
B A-[1903].Fl,1
PAMP Day-1,1
V1987.042,1
PAMP Badger-2,1
PAMP Pennington-1,1
Bergen-[185-?]e.Fl,1
2016.009,1
B PP-[1881].Fl,1
Bergen-1889.Fl,1
Lefferts RZ401.F6 1917,1
B A-19th-20th century (1975).Fl,1
NYS-1868.A.RA,1
1977.569,1
"D.P.W.-1:24,000 (Central Park Quad).R",1
PAMP Doheny-1,1
1978.114,1
B P-1902.Fl,1
Bergen-[189-?].Fl.O,1
NYC-1849.Fl.RA,1
1974.240,1
Bergen-1887.Fl,1
1986.027,1
1985.056,1
(83) Q-1913-1919.A v.1a,1
1985.028,1
1977.061,1
L.I.-[195-?].Fl,1
ARC.020,1
M-[1921?].A.RA,1
1973.109,1
ARC.140,1
PAMP CareyHC-2,1
B P-[1879].Fl,1
1973.220,1
B A-[1939].Fl,1
PAMP Sipkins-1,1
"D.P.W.-1:24,000 (Amityville Quad).R",1
L.I.-[1873]a.Fl,1
Bergen-[18--?]uu.Fl,1
PAMP Carroll-1,1
1978.049,1
PAMP FosterGL-1,1
1985.044,1
NYS-1758 (18--?).Fl,1
1978.174,1
PAMP Dana-1,1
1986.057,1
PAMP Douglas-5,1
1985.004,1
"D.P.W.-1:24,000 (Jamiaca Quad).R",1
1985.039,1
2000.013,1
PAMP ClayH-4,1
B A-2009.Fl,1
B A-2011.Fl,1
V1991.013,1
V1991.124,1
PAMP HaleJP-2,1
PAMP Christy-1,1
PAMP What-1,1
PAMP KirkEN-1,1
B P-[1852].Fl,1
1978.124,1
1991.001,1
1977.522,1
PAMP ConwayMF-1,1
(65) B P-[1839].A,1
V1986.038,1
1973.223,1
V1998.002,1
PAMP SpearST-7,1
ARC.218,1
B A-1872.Fd,1
2007.018,1
PAMP JacobsHA-1,1
1977.454,1
PAMP NCBFAA-1,1
L.I.-1904a.Fl,1
IPOF E445.M3 P46 2006,1
NYC-1767 (1967).Fl,1
ARC.120,1
B P-[1825?]a.Fl,1
PAMP Douglas-6,1
US-1842.A.RA,1
PAMP Sumner-22,1
L.I.-[197-?].Fl.Folio,1
2007.047,1
1992.013,1
PAMP BeecherCE-1,1
V1982.003,1
PAMP ShieldsJ-1,1
"D.P.W.-1:24,000 (East Hampton Quad).R",1
B A-1897.Fl,1
ARC.150,1
B P-1880.Fl,1
B P-[1835].Fl.Folio c.3,1
NYC-1927.Folded,1
PAMP CSA-1,1
PAMP Bemis-1,1
NYS-[1950].Fl,1
V1986.026,1
PAMP ClayH-5,1
1977.560,1
PAMP AmCS-10,1
NYS-[1825?].Fl,1
PAMP FisherGE-1,1
ARC.217,1
(83) Q-1913-1919.A v.2a,1
PAMP Pelletan-1,1
L.I.-1974.O,1
CBBG HQ801.8 .N27 1997,1
B P-[1869]d.Fl,1
1977.193,1
PAMP Table-2,1
PAMP StephensAH-2,1
ARC.123,1
PAMP RootJM-1,1
PAMP Barnard-1,1
